cliente_id,marca_id,año,mes,cluster_id,precio_total,cantidad,fecha_mes,marca_id_encoded
1019,40000650,2024,3,5,74.152,15.0,2024-03-01,39
1019,40000650,2024,4,5,21.648,5.0,2024-04-01,39
1019,40000662,2024,7,5,23.53,1.0,2024-07-01,40
1019,40000668,2024,1,5,2.1336,1.0,2024-01-01,41
1019,40000704,2024,1,5,69.12,8.0,2024-01-01,44
1019,40000704,2024,2,5,270.384,51.0,2024-02-01,44
1019,40000704,2024,3,5,92.64599999999999,12.0,2024-03-01,44
1019,40000704,2024,4,5,37.23,3.0,2024-04-01,44
1019,40000704,2024,5,5,386.79,63.0,2024-05-01,44
1019,40000704,2024,6,5,98.13,20.0,2024-06-01,44
1019,40000704,2024,7,5,182.13,17.0,2024-07-01,44
1019,40000704,2024,8,5,406.8,53.0,2024-08-01,44
1019,40000772,2024,4,5,177.75,1.0,2024-04-01,49
1019,40000814,2024,2,5,5.613000000000001,3.0,2024-02-01,51
1019,40000814,2024,4,5,2.7820000000000005,1.0,2024-04-01,51
1019,40000814,2024,5,5,1.939,2.0,2024-05-01,51
1019,40000814,2024,6,5,2.961,3.0,2024-06-01,51
1019,40000814,2024,8,5,2.0719999999999996,3.0,2024-08-01,51
1019,40000876,2024,1,5,7.727999999999999,1.0,2024-01-01,57
1019,40000876,2024,2,5,15.455999999999998,2.0,2024-02-01,57
1019,40000876,2024,5,5,7.727999999999999,1.0,2024-05-01,57
1019,40000876,2024,6,5,18.578,2.0,2024-06-01,57
1019,40000876,2024,7,5,15.455999999999998,2.0,2024-07-01,57
1019,40000940,2024,4,5,5.36,1.0,2024-04-01,60
1019,40000940,2024,7,5,7.462499999999999,1.0,2024-07-01,60
1019,40000958,2024,2,5,29.468,8.0,2024-02-01,61
1019,40001145,2024,1,5,72.002,9.0,2024-01-01,74
1019,40001145,2024,2,5,44.8008,4.0,2024-02-01,74
1019,40001145,2024,3,5,64.1308,11.0,2024-03-01,74
1019,40001145,2024,4,5,125.217,21.0,2024-04-01,74
1019,40001145,2024,5,5,210.188,12.0,2024-05-01,74
1019,40001145,2024,6,5,11.154,2.0,2024-06-01,74
1019,40001145,2024,7,5,122.9628,7.0,2024-07-01,74
1019,40007017,2024,2,5,573.75,54.0,2024-02-01,76
1019,40007045,2024,1,5,58.36,4.0,2024-01-01,78
1019,40007045,2024,2,5,80.8,10.0,2024-02-01,78
1019,40007045,2024,3,5,129.28,16.0,2024-03-01,78
1019,40007045,2024,4,5,88.985,8.0,2024-04-01,78
1019,40007045,2024,5,5,40.945,4.0,2024-05-01,78
1019,40007045,2024,6,5,33.01,1.0,2024-06-01,78
1019,40007045,2024,7,5,127.57,7.0,2024-07-01,78
1019,40007067,2024,4,5,14.22,1.0,2024-04-01,80
1019,40007087,2024,6,5,11.55,1.0,2024-06-01,83
1019,40007103,2024,1,5,98.2045,11.0,2024-01-01,85
1019,40007103,2024,2,5,19.63725,1.0,2024-02-01,85
1019,40007103,2024,3,5,61.0317,4.0,2024-03-01,85
1019,40007103,2024,4,5,97.64295000000001,6.0,2024-04-01,85
1019,40007103,2024,5,5,66.42885000000001,4.0,2024-05-01,85
1019,40007103,2024,6,5,35.21475,2.0,2024-06-01,85
1019,40007103,2024,7,5,50.79225,3.0,2024-07-01,85
1019,40007103,2024,8,5,35.21475,2.0,2024-08-01,85
1019,40007107,2024,1,5,7.524000000000001,2.0,2024-01-01,86
1019,40007108,2024,1,5,26.0,1.0,2024-01-01,87
1019,40007146,2024,1,5,59.75448,2.0,2024-01-01,91
1019,40007146,2024,2,5,95.6493,3.0,2024-02-01,91
1019,40007146,2024,4,5,37.61442,1.0,2024-04-01,91
1019,40007146,2024,5,5,55.06392,2.0,2024-05-01,91
1019,40007146,2024,6,5,27.53196,1.0,2024-06-01,91
1019,40007152,2024,1,5,30.93,3.0,2024-01-01,93
