cluster_id,cliente_id
5,1019
5,1025
5,1032
5,1035
0,1043
5,1049
5,1053
5,1113
5,1121
5,1128
5,1147
5,1151
5,1161
5,1169
0,1177
3,1193
4,1196
5,1202
5,1205
5,1210
5,1218
0,1232
5,1233
5,1250
5,1280
5,1303
5,1313
5,1315
5,1323
5,1324
5,1341
0,1348
5,1351
5,1352
5,1372
5,1381
5,1402
5,1403
0,1404
5,1408
5,1421
5,1444
0,1447
5,1455
5,1457
5,1480
3,1486
5,1494
5,1496
0,1497
5,1505
4,1523
5,1529
5,1543
5,1552
4,1575
5,1581
5,1591
4,1597
5,1598
5,1609
5,1617
4,1630
4,1637
5,1645
0,1648
5,1652
5,1653
3,1665
5,1672
5,1688
5,1692
5,1694
3,1853
5,1978
5,2003
5,2023
5,2061
5,2076
5,2088
3,2098
4,2101
5,2105
2,2132
5,2157
5,2181
5,2183
5,2186
4,2190
4,2192
5,2199
5,2204
5,2247
3,2252
0,2267
5,2270
5,2271
4,2279
5,2305
3,2308
5,2423
5,2459
1,2484
5,2523
0,3001
3,3003
5,3016
5,4063
5,4065
5,4067
5,4110
5,4127
5,4349
0,4350
3,5018
0,5022
1,5037
5,5072
5,5277
3,5295
5,5299
3,6000
5,6007
5,6041
5,6042
1,6053
5,6062
1,6077
3,6079
0,6089
0,6110
5,6144
5,6145
0,6163
5,6168
5,6169
5,6174
5,6180
5,6181
5,6185
0,6189
5,6216
5,6249
0,6295
5,6470
5,6475
3,6503
5,6506
0,6508
5,6511
0,6515
5,6522
5,6533
5,6542
0,6553
3,6559
5,6561
5,6567
0,6588
5,6593
5,6595
5,6597
5,6648
5,7028
3,7034
3,7035
5,7046
5,7068
0,7073
5,7078
5,7115
3,7136
0,7141
5,7147
5,7165
4,7179
5,7184
5,7201
0,7219
5,7224
0,7243
5,7331
5,7335
1,7340
3,7451
0,7486
5,7526
5,7531
5,7551
5,7575
0,7593
5,7595
5,7598
5,7606
3,7622
5,7628
5,7629
5,7657
0,7667
5,7677
5,7701
3,7702
5,7707
5,7715
5,7721
5,7722
5,7751
5,7762
5,7763
5,7777
0,7778
5,7791
0,7804
0,7806
3,8060
0,8063
5,8163
5,8183
5,8203
5,8222
0,8227
5,8573
3,8955
5,8983
5,10004
0,10005
5,10018
5,10292
5,11001
5,12024
5,12025
5,12057
5,12089
5,12106
3,12197
2,12564
3,12566
5,12584
5,12585
5,12586
0,12595
5,12607
5,12612
5,12618
5,13197
5,13244
3,14023
5,14030
5,14047
5,14055
3,14064
0,14079
5,14086
5,14104
5,14155
0,14165
5,14169
5,14177
0,14182
5,14186
5,16011
5,24051
5,60169
5,60224
5,60241
5,60256
5,78000
5,78001
5,78002
5,78003
5,78005
5,78008
5,78009
5,78011
5,78012
0,78013
5,78014
5,78017
5,78018
5,78019
0,78020
5,78021
5,78022
5,78023
5,78024
5,78025
5,78026
0,78028
5,78030
5,78033
5,78034
5,78035
5,78036
5,78037
5,78038
5,78040
5,78041
5,78043
5,78044
5,78048
5,78049
0,78050
5,78051
5,78052
5,78053
5,78054
5,78055
5,78057
5,78058
5,78059
5,78060
5,78062
5,78063
5,78064
1,78065
5,78066
5,78067
5,78069
5,78070
5,78071
5,78073
5,78074
5,78075
5,78076
5,78077
5,78078
5,78079
5,78080
5,78081
5,78082
5,78083
5,78084
5,78086
5,78087
5,78088
5,78089
5,78090
5,78091
5,78092
0,78093
5,78094
5,78095
0,78096
5,78097
5,78099
0,78100
3,78102
5,78103
5,78104
5,78105
5,78107
5,78108
5,78109
5,78110
5,78113
5,78114
5,78116
5,78117
5,78118
5,78121
2,78122
5,78123
5,78125
5,78126
5,78127
5,78128
3,78129
5,78130
5,78131
5,78133
5,78134
5,78136
5,78137
5,78138
5,78139
5,78140
5,78141
5,78142
5,78144
5,78145
5,78147
5,78148
5,78150
5,78151
5,78154
3,78155
5,78157
5,78159
5,78162
5,78163
5,78164
5,78165
5,78166
5,78167
5,78168
5,78170
5,78171
5,78173
5,78174
5,78175
5,78176
0,78177
5,78178
5,78179
5,78180
5,78181
5,78184
5,78185
5,78186
5,78187
5,78188
5,78190
5,78191
5,78192
5,78193
5,78194
0,78195
5,78196
5,78197
5,78198
5,78202
5,78203
5,78204
5,78205
5,78206
1,78208
5,78209
5,78210
5,78212
5,78213
5,78214
5,78215
5,78216
5,78217
0,78218
5,78219
5,78220
0,78221
0,78222
5,78223
5,78226
5,78227
5,78228
0,78229
5,78230
5,78231
5,78234
5,78235
5,78236
5,78237
5,78240
5,78242
0,78244
5,78247
0,78248
5,78250
5,78251
5,78253
5,78255
5,78256
5,78257
5,78258
5,78261
5,78265
5,78266
5,78267
5,78268
5,78269
5,78270
1,78272
5,78273
5,78276
5,78277
5,78282
0,78283
5,78284
5,78287
5,78288
5,78289
5,78290
5,78293
5,78294
5,78300
5,78301
5,78302
5,78304
5,78305
5,78309
5,78311
5,78316
5,78317
5,78318
5,78319
5,78320
5,78321
5,78323
5,78324
5,78325
5,78326
5,78327
5,78328
5,78330
5,78331
0,78332
5,78333
5,78334
0,78335
5,78336
5,78341
5,78342
5,78343
5,78344
5,78346
5,78347
5,78348
5,78349
5,78350
5,78352
0,78353
5,78354
4,78355
5,78356
5,78357
5,78359
5,78360
5,78361
5,78363
5,78364
5,78365
5,78367
5,78370
5,78371
5,78375
5,78377
5,78379
5,78380
5,78381
5,78382
5,78383
5,78385
5,78387
5,78388
2,78389
5,78390
5,78392
5,78393
5,78395
5,78396
0,78398
5,78400
0,78401
5,78404
5,78406
5,78407
5,78409
5,78412
5,78414
5,78416
5,78418
5,78419
5,78420
5,78422
5,78423
5,78426
5,78427
5,78429
5,78430
5,78431
5,78432
5,78434
5,78436
5,78437
5,78438
0,78439
5,78441
5,78442
5,78443
0,78448
5,78449
0,78450
5,78451
5,78452
0,78453
5,78454
5,78458
5,78459
0,78463
5,78464
5,78465
5,78466
5,78468
0,78469
5,78470
5,78473
5,78474
5,78475
5,78478
5,78479
5,78480
5,78481
0,78482
5,78483
0,78486
5,78487
5,78488
0,78491
5,78494
5,78496
5,78497
5,78503
5,78504
5,78505
5,78506
5,78507
5,78508
5,78513
5,78514
5,78515
5,78517
5,78519
5,78520
5,78522
5,78523
5,78525
5,78526
5,78527
5,78528
5,78529
5,78530
5,78533
5,78534
5,78536
5,78537
5,78538
5,78539
5,78540
5,78541
5,78542
5,78544
5,78545
5,78546
5,78548
5,78549
5,78552
5,78553
5,78558
5,78559
5,78560
5,78561
5,78562
5,78563
5,78564
5,78565
0,78566
5,78567
5,78568
5,78569
5,78570
5,78571
5,78576
5,78578
5,78579
5,78580
5,78583
3,78584
3,78585
0,78586
5,78587
5,78588
5,78589
5,78590
4,78591
5,78593
5,78595
5,78596
5,78597
5,78598
5,78600
3,78601
5,78602
5,78603
5,78604
5,78605
4,78611
5,78615
5,78620
5,78624
5,78625
5,78626
5,78628
5,78629
5,78631
5,78634
5,78636
5,78642
5,78643
5,78644
5,78645
5,78648
5,78649
5,78651
5,78652
5,78654
5,78658
0,78664
5,78665
5,78666
5,78667
5,78669
5,78670
5,78672
0,78673
5,78674
5,78677
0,78679
5,78681
5,78682
5,78683
5,78684
5,78687
5,78688
5,78690
5,78691
5,78693
5,78694
5,78695
5,78697
5,78698
5,78699
5,78702
5,78703
0,78704
5,78707
5,78709
5,78710
5,78712
5,78714
5,78715
5,78716
5,78718
5,78719
5,78722
5,78723
0,78725
5,78727
5,78728
5,78729
5,78730
0,78731
5,78732
5,78733
5,78736
5,78738
1,78739
5,78740
5,78741
5,78742
3,78743
3,78747
0,78748
5,78749
5,78750
5,78752
5,78753
5,78754
5,78755
5,78756
5,78757
5,78760
3,78762
3,78763
5,78764
5,78767
5,78768
5,78769
5,78770
0,78773
5,78775
5,78776
5,78777
5,78778
5,78780
5,78781
5,78785
5,78788
5,78789
5,78790
5,78791
5,78793
5,78795
3,78796
5,78797
5,78799
5,78801
3,78802
5,78803
5,78805
5,78810
5,78811
5,78812
5,78813
5,78814
5,78815
0,78817
5,78820
5,78821
5,78822
5,78823
5,78824
2,78827
0,78830
5,78831
5,78832
5,78833
5,78834
5,78835
5,78837
5,78838
5,78840
5,78841
5,78843
5,78844
5,78845
5,78847
5,78849
5,78850
5,78853
5,78854
5,78855
5,78856
3,78858
5,78860
5,78862
5,78863
5,78866
5,78867
0,78868
5,78869
5,78870
1,78872
5,78873
5,78877
5,78879
5,78881
5,78882
5,78883
5,78884
5,78885
5,78887
5,78890
5,78891
5,78893
5,78895
5,78898
5,78899
5,78900
0,78901
0,78902
0,78903
5,78906
5,78907
5,78909
5,78910
5,78911
5,78914
1,78916
5,78917
5,78918
5,78920
5,78921
5,78923
5,78927
5,78928
5,78930
5,78932
5,78933
5,78934
5,78935
5,78937
5,78938
4,78939
1,78942
5,78944
0,78945
5,78946
0,78947
5,78948
5,78950
1,78951
0,78953
5,78956
5,78961
5,78962
5,78963
5,78965
5,78967
5,78968
5,78969
5,78970
5,78971
5,78972
5,78975
5,78976
5,78977
5,78981
5,78982
5,78983
5,78985
5,78986
0,78987
5,78988
5,78989
5,78991
5,78993
