cliente_id,fecha_mes,cluster_id,precio_total,cantidad,marca_id_encoded,precio_total_lag_1,precio_total_lag_2,precio_total_lag_3,precio_total_lag_4,precio_total_lag_5,precio_total_lag_6,precio_total_lag_7,precio_total_lag_8,precio_total_lag_9,precio_total_lag_10,precio_total_lag_11,precio_total_lag_12,precio_total_lag_13,precio_total_lag_14,precio_total_lag_15,precio_total_lag_16,precio_total_lag_17,precio_total_lag_18,precio_total_lag_19,precio_total_lag_20,precio_total_lag_21,precio_total_lag_22,precio_total_lag_23,precio_total_lag_24,mes,año
2132,2024-08-01,2,,,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.824999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2024
2132,2024-08-01,2,,,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7125,0.0,0.0,8.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2024
2132,2024-08-01,2,,,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2024
2132,2024-09-01,2,,,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.824999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2024
2132,2024-09-01,2,,,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7125,0.0,0.0,8.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2024
2132,2024-09-01,2,,,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2024
2132,2024-10-01,2,,,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.824999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2024
2132,2024-10-01,2,,,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7125,0.0,0.0,8.7125,0.0,0.0,0.0,0.0,0.0,0.0,10,2024
2132,2024-10-01,2,,,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.0,0.0,0.0,0.0,0.0,0.0,10,2024
2132,2024-11-01,2,,,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.824999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2024
2132,2024-11-01,2,,,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7125,0.0,0.0,8.7125,0.0,0.0,0.0,0.0,0.0,11,2024
2132,2024-11-01,2,,,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.0,0.0,0.0,0.0,0.0,11,2024
2132,2024-12-01,2,,,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.824999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2024
2132,2024-12-01,2,,,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7125,0.0,0.0,8.7125,0.0,0.0,0.0,0.0,12,2024
2132,2024-12-01,2,,,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.0,0.0,0.0,0.0,12,2024
12564,2024-01-01,2,,,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024
12564,2024-01-01,2,,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726104,0.0,0.0,1,2024
12564,2024-01-01,2,,,15,0.0,0.0,37.57,26.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024
12564,2024-01-01,2,,,23,3.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024
12564,2024-01-01,2,,,44,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024
12564,2024-01-01,2,,,46,6.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024
12564,2024-01-01,2,,,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,1,2024
12564,2024-01-01,2,,,119,0.0,0.0,0.0,0.0,942.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024
12564,2024-01-01,2,,,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.54,0.0,0.0,1,2024
12564,2024-01-01,2,,,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.106,0.0,0.0,0.0,0.0,0.0,0.0,1,2024
12564,2024-02-01,2,,,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.402,0.0,0.0,0.0,0.0,0.0,0.0,2,2024
12564,2024-02-01,2,,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.726104,0.0,2,2024
12564,2024-02-01,2,,,15,0.0,0.0,0.0,37.57,26.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2024
12564,2024-02-01,2,,,23,0.0,3.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2024
12564,2024-02-01,2,,,44,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2024
12564,2024-02-01,2,,,46,0.0,6.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2024
12564,2024-02-01,2,,,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,2,2024
